param,channel,color,active
play_pause,ch1n52,127,1
shift,ch1n53,127,1
back,ch1n54,0,0
bpm_tap,ch1n55,127,1
autoloop_override,ch1n56,127,1
movement,ch1n57,127,1
strobe,ch1n58,127,1
hue,ch1n59,127,1
smoke,ch1n60,127,1
p1,ch1n37,50,1
p2,ch1n38,50,1
p3,ch1n39,50,1
p4,ch1n40,50,1
p5,ch1n41,50,1
p6,ch1n42,50,1
p7,ch1n43,50,1
p8,ch1n44,50,1
p9,ch1n45,50,1
white,ch1n46,127,1
black,ch1n47,127,1
uv,ch1n48,127,1
bank1,ch1n33,127,1
bank2,ch1n34,127,1
bank3,ch1n35,127,1
bank4,ch1n36,127,1
autoloop,ch1n61,127,1
autoloop_intensity,ch1n62,0,0
slider,ch1n50,0,1
group1,ch1n63,0,0
group2,ch1n64,0,0
b1,ch1n1,1,1
b2,ch1n2,1,1
b3,ch1n3,1,1
b4,ch1n4,1,1
b5,ch1n5,1,1
b6,ch1n6,1,1
b7,ch1n7,1,1
b8,ch1n8,1,1
b9,ch1n9,1,1
b10,ch1n10,1,1
b11,ch1n11,1,1
b12,ch1n12,1,1
b13,ch1n13,1,1
b14,ch1n14,1,1
b15,ch1n15,1,1
b16,ch1n16,1,1
b17,ch1n17,1,1
b18,ch1n18,1,1
b19,ch1n19,1,1
b20,ch1n20,1,1
b21,ch1n21,1,1
b22,ch1n22,1,1
b23,ch1n23,1,1
b24,ch1n24,1,1
b25,ch1n25,1,1
b26,ch1n26,1,1
b27,ch1n27,1,1
b28,ch1n28,1,1
b29,ch1n29,1,1
b30,ch1n30,1,1
b31,ch1n31,1,1
b32,ch1n32,1,1
ft_trigger,ch1n72,0,1
ft_value,ch1ctrl72,0,1
